id,tag,profile,province,contribution,location,withdrawal,market,savings_rate,oas_defer,cpp_start,split_frac,spending_curve,seed,tw_gross,tw_after_tax,tw_pv,lifetime_tax,lifetime_benefits
1,grid,young_pro,AB,conventional,conventional,nonreg_first,base,0.15,0,65,0.0,flat,42,2010361.82,1802606.02,288398.43,998996.1699999998,236065.0
2,grid,young_pro,AB,conventional,conventional,nonreg_first,bull,0.15,0,65,0.0,flat,42,6951807.76,6673540.99,1067697.93,1088460.9400000002,216979.84
3,grid,young_pro,AB,conventional,conventional,nonreg_first,bear,0.15,0,65,0.0,flat,42,654613.11,545154.47,87219.11,861194.1100000003,236065.0
4,grid,young_pro,AB,conventional,conventional,nonreg_first,stochastic,0.15,0,65,0.0,flat,42,10150800.07,9545362.92,1527159.91,2217595.82,56906.93
5,grid,young_pro,AB,conventional,conventional,rrif_meltdown,base,0.15,0,65,0.0,flat,42,1974451.18,1783932.49,285410.85,996072.9700000003,236065.0
6,grid,young_pro,AB,conventional,conventional,rrif_meltdown,bull,0.15,0,65,0.0,flat,42,6892316.38,6642605.48,1062748.57,1082544.4899999998,233213.96
7,grid,young_pro,AB,conventional,conventional,rrif_meltdown,bear,0.15,0,65,0.0,flat,42,370298.36,369987.06,59194.12,932450.6600000007,236065.0
8,grid,young_pro,AB,conventional,conventional,rrif_meltdown,stochastic,0.15,0,65,0.0,flat,42,9879654.26,9404367.1,1504602.02,2184265.33,13347.64
9,grid,young_pro,AB,conventional,conventional,oas_preservation,base,0.15,0,65,0.0,flat,42,1195229.58,930014.9,148792.82,1036227.86,251985.80000000002
10,grid,young_pro,AB,conventional,conventional,oas_preservation,bull,0.15,0,65,0.0,flat,42,5536595.28,5194557.11,831075.72,1127746.4500000002,208035.21000000002
11,grid,young_pro,AB,conventional,conventional,oas_preservation,bear,0.15,0,65,0.0,flat,42,373997.68,237137.59,37939.58,879007.0100000002,254051.0
12,grid,young_pro,AB,conventional,conventional,oas_preservation,stochastic,0.15,0,65,0.0,flat,42,9604747.43,8965898.41,1434451.54,2264142.9000000004,91319.81
13,grid,young_pro,AB,conventional,conventional,tfsa_last,base,0.15,0,65,0.0,flat,42,2010361.82,1802606.02,288398.43,998996.1699999998,236065.0
14,grid,young_pro,AB,conventional,conventional,tfsa_last,bull,0.15,0,65,0.0,flat,42,6951807.76,6673540.99,1067697.93,1088460.9400000002,216979.84
15,grid,young_pro,AB,conventional,conventional,tfsa_last,bear,0.15,0,65,0.0,flat,42,654613.11,545154.47,87219.11,861194.1100000003,236065.0
16,grid,young_pro,AB,conventional,conventional,tfsa_last,stochastic,0.15,0,65,0.0,flat,42,10150800.07,9545362.92,1527159.91,2217595.82,56906.93
